task_id,project_id,employee_id,task_title,task_description,task_priority,task_status,task_start_date,task_deadline,required_skill,estimated_hours,hours_logged,progress_percentage,allocation_score,recommended_employee
T065,P00019,EMP039,Frontend Development,,,In Progress,,2026-11-24,,,,48,,
T066,P00033,EMP032,Data Analysis,,,On Hold,,2026-12-18,,,,13,,
T067,P00006,EMP041,Deployment,,,In Progress,,2026-12-09,,,,15,,
T068,P00022,EMP050,Registration Module,,,Cancelled,,2026-11-14,,,,10,,
T069,P00048,EMP029,Requirements Analysis,,,In Progress,,2026-11-23,,,,16,,
T070,P00008,EMP005,Registration Module,,,Not Started,,2026-11-02,,,,5,,
T071,P00038,EMP036,Registration Module,,,Not Started,,2026-10-19,,,,4,,
T072,P00024,EMP003,Bug Fixing,,,Completed,,2026-09-20,,,,100,,
T073,P00007,EMP023,Requirements Analysis,,,On Hold,,2026-12-16,,,,49,,
T074,P00048,EMP010,Backend Development,,,In Progress,,2026-12-13,,,,37,,
T075,P00027,EMP002,Dashboard Development,,,On Hold,,2026-11-27,,,,60,,
T076,P00027,EMP043,Backend Development,,,In Progress,,2026-09-28,,,,28,,
T077,P00025,EMP003,Performance Testing,,,In Progress,,2026-09-22,,,,73,,
T078,P00023,EMP020,Backend Development,,,Not Started,,2026-09-22,,,,3,,
T079,P00026,EMP022,Data Analysis,,,Not Started,,2026-12-13,,,,4,,
T080,P00023,EMP042,User Acceptance Testing,,,Completed,,2026-10-15,,,,98,,
T081,P00022,EMP002,Login Module,,,Cancelled,,2026-12-15,,,,11,,
T082,P00038,EMP017,Database Design,,,In Progress,,2026-09-07,,,,59,,
T083,P00047,EMP021,Deployment,,,Cancelled,,2026-11-10,,,,7,,
T084,P00025,EMP037,Frontend Development,,,Not Started,,2026-09-26,,,,6,,
T085,P00001,EMP034,Requirements Analysis,,,Completed,,2026-11-20,,,,100,,
T086,P00013,EMP024,Deployment,,,On Hold,,2026-09-02,,,,68,,
T087,P00022,EMP040,Testing,,,Completed,,2026-11-17,,,,94,,
T088,P00033,EMP020,Deployment,,,In Progress,,2026-10-05,,,,52,,
T089,P00036,EMP009,Frontend Development,,,Completed,,2026-10-17,,,,96,,
T090,P00044,EMP048,Dashboard Development,,,In Progress,,2026-11-11,,,,66,,
T091,P00036,EMP001,Report Generation,,,In Progress,,2026-09-30,,,,56,,
T092,P00030,EMP029,Security Testing,,,In Progress,,2026-11-19,,,,75,,
T093,P00048,EMP011,API Development,,,In Progress,,2026-09-30,,,,57,,
T094,P00006,EMP049,Backend Development,,,In Progress,,2026-11-19,,,,40,,
T095,P00010,EMP002,Database Design,,,Cancelled,,2026-09-25,,,,39,,
T096,P00050,EMP005,Security Testing,,,On Hold,,2026-10-17,,,,46,,
T097,P00013,EMP046,Documentation,,,In Progress,,2026-10-27,,,,33,,
T098,P00042,EMP045,UI Design,,,Completed,,2026-12-17,,,,91,,
T099,P00050,EMP028,Backend Development,,,Completed,,2026-09-16,,,,98,,
T100,P00030,EMP004,Requirements Analysis,,,On Hold,,2026-09-25,,,,17,,
T101,P00030,EMP009,Security Testing,,,In Progress,,2026-11-18,,,,55,,
T102,P00049,EMP029,Integration Testing,,,Completed,,2026-12-07,,,,98,,
T103,P00028,EMP036,Security Testing,,,In Progress,,2026-12-17,,,,75,,
T104,P00029,EMP017,Backend Development,,,Completed,,2026-12-10,,,,98,,
T105,P00032,EMP041,Backend Development,,,In Progress,,2026-09-29,,,,51,,
T106,P00016,EMP018,Testing,,,On Hold,,2026-10-04,,,,15,,
T107,P00009,EMP010,Backend Development,,,Completed,,2026-10-13,,,,93,,
T108,P00005,EMP027,Deployment,,,In Progress,,2026-10-06,,,,68,,
T109,P00004,EMP014,Deployment,,,On Hold,,2026-10-13,,,,47,,
T110,P00045,EMP002,System Design,,,In Progress,,2026-10-12,,,,60,,
T111,P00020,EMP049,Documentation,,,On Hold,,2026-12-12,,,,63,,
T112,P00027,EMP035,Requirements Analysis,,,Completed,,2026-12-05,,,,93,,
T113,P00032,EMP015,Data Analysis,,,In Progress,,2026-10-19,,,,64,,
T114,P00022,EMP043,Documentation,,,In Progress,,2026-11-25,,,,74,,
T115,P00009,EMP040,Requirements Analysis,,,On Hold,,2026-08-28,,,,47,,
T116,P00037,EMP043,UI Design,,,Completed,,2026-09-04,,,,92,,
T117,P00030,EMP012,Database Design,,,In Progress,,2026-09-27,,,,42,,
T118,P00030,EMP021,Testing,,,On Hold,,2026-11-30,,,,27,,
T119,P00049,EMP027,Data Analysis,,,Not Started,,2026-12-09,,,,0,,
T120,P00048,EMP035,Database Design,,,In Progress,,2026-10-08,,,,23,,
T121,P00050,EMP042,Database Design,,,Not Started,,2026-11-29,,,,3,,
T122,P00013,EMP002,Integration Testing,,,In Progress,,2026-09-13,,,,75,,
T123,P00043,EMP008,System Design,,,In Progress,,2026-09-21,,,,47,,
T124,P00050,EMP024,Dashboard Development,,,Completed,,2026-11-10,,,,91,,
T125,P00050,EMP011,Report Generation,,,In Progress,,2026-09-07,,,,54,,
T126,P00037,EMP044,Documentation,,,On Hold,,2026-10-14,,,,22,,
T127,P00005,EMP038,Backend Development,,,Completed,,2026-09-07,,,,94,,
T128,P00044,EMP039,Login Module,,,Cancelled,,2026-12-04,,,,50,,
T129,P00003,EMP023,Requirements Analysis,,,Completed,,2026-10-18,,,,91,,
T130,P00033,EMP042,Testing,,,Completed,,2026-08-26,,,,97,,
T131,P00007,EMP028,Bug Fixing,,,On Hold,,2026-11-14,,,,39,,
T132,P00046,EMP010,Deployment,,,Completed,,2026-09-16,,,,100,,
T133,P00018,EMP040,Requirements Analysis,,,In Progress,,2026-12-02,,,,70,,
T134,P00047,EMP038,Data Analysis,,,On Hold,,2026-10-05,,,,63,,
T135,P00006,EMP018,Security Testing,,,Completed,,2026-09-25,,,,99,,
T136,P00040,EMP043,Documentation,,,Not Started,,2026-10-07,,,,5,,
T137,P00012,EMP032,Frontend Development,,,Completed,,2026-10-09,,,,95,,
T138,P00018,EMP039,Data Analysis,,,Not Started,,2026-11-04,,,,3,,
T139,P00006,EMP016,Deployment,,,In Progress,,2026-10-26,,,,45,,
T140,P00045,EMP031,Performance Testing,,,Completed,,2026-10-21,,,,91,,
T141,P00019,EMP015,Documentation,,,In Progress,,2026-11-21,,,,62,,
T142,P00031,EMP036,User Acceptance Testing,,,In Progress,,2026-10-08,,,,85,,
T143,P00022,EMP023,Security Testing,,,In Progress,,2026-09-28,,,,44,,
T144,P00008,EMP047,Frontend Development,,,Not Started,,2026-10-04,,,,8,,
T145,P00049,EMP045,Dashboard Development,,,In Progress,,2026-09-18,,,,76,,
T146,P00018,EMP047,System Design,,,In Progress,,2026-11-30,,,,51,,
T147,P00007,EMP013,Report Generation,,,In Progress,,2026-09-23,,,,53,,
T148,P00001,EMP046,Requirements Analysis,,,In Progress,,2026-09-10,,,,21,,
T149,P00036,EMP019,Registration Module,,,On Hold,,2026-11-14,,,,41,,
T150,P00007,EMP001,System Design,,,In Progress,,2026-09-30,,,,71,,
T151,P00022,EMP012,Database Design,,,On Hold,,2026-09-26,,,,40,,
T152,P00008,EMP005,Documentation,,,Not Started,,2026-10-26,,,,10,,
T153,P00044,EMP004,Registration Module,,,Completed,,2026-09-13,,,,94,,
T154,P00006,EMP016,Login Module,,,Completed,,2026-11-04,,,,99,,
T155,P00039,EMP040,Backend Development,,,In Progress,,2026-12-02,,,,72,,
T156,P00029,EMP020,System Design,,,In Progress,,2026-10-18,,,,22,,
T157,P00040,EMP048,Login Module,,,In Progress,,2026-11-30,,,,42,,
T158,P00017,EMP043,API Development,,,In Progress,,2026-09-14,,,,85,,
T159,P00005,EMP011,UI Design,,,In Progress,,2026-10-16,,,,75,,
T160,P00019,EMP003,Backend Development,,,Completed,,2026-09-30,,,,97,,
T161,P00005,EMP044,Backend Development,,,In Progress,,2026-12-21,,,,40,,
T162,P00028,EMP008,Requirements Analysis,,,Completed,,2026-09-22,,,,94,,
T163,P00010,EMP005,Database Design,,,Completed,,2026-09-15,,,,99,,
T164,P00048,EMP037,Report Generation,,,Not Started,,2026-10-20,,,,4,,
T165,P00045,EMP026,Data Analysis,,,In Progress,,2026-10-28,,,,71,,
T166,P00006,EMP039,Database Design,,,In Progress,,2026-12-16,,,,56,,
T167,P00039,EMP017,UI Design,,,In Progress,,2026-09-05,,,,17,,
T168,P00049,EMP044,Data Analysis,,,Not Started,,2026-11-06,,,,2,,
T169,P00031,EMP034,Security Testing,,,In Progress,,2026-12-20,,,,70,,
T170,P00041,EMP032,API Development,,,In Progress,,2026-10-24,,,,57,,
T171,P00021,EMP043,Login Module,,,In Progress,,2026-12-12,,,,67,,
T172,P00045,EMP032,Report Generation,,,On Hold,,2026-11-17,,,,62,,
T173,P00049,EMP036,Database Design,,,Not Started,,2026-10-22,,,,4,,
T174,P00021,EMP008,Documentation,,,In Progress,,2026-12-13,,,,15,,
T175,P00043,EMP035,Security Testing,,,Not Started,,2026-10-16,,,,8,,
T176,P00024,EMP040,Performance Testing,,,In Progress,,2026-11-13,,,,21,,
T177,P00014,EMP018,Requirements Analysis,,,On Hold,,2026-09-10,,,,38,,
T178,P00045,EMP032,Login Module,,,Cancelled,,2026-08-28,,,,38,,
T179,P00016,EMP046,Dashboard Development,,,In Progress,,2026-10-03,,,,85,,
T180,P00027,EMP006,Backend Development,,,On Hold,,2026-12-10,,,,39,,
T181,P00008,EMP042,Registration Module,,,On Hold,,2026-10-27,,,,28,,
T182,P00033,EMP046,Data Analysis,,,Completed,,2026-10-17,,,,97,,
T183,P00016,EMP030,Requirements Analysis,,,In Progress,,2026-09-12,,,,80,,
T184,P00048,EMP009,API Development,,,Completed,,2026-09-29,,,,96,,
T185,P00022,EMP033,Data Analysis,,,Not Started,,2026-12-08,,,,4,,
T186,P00038,EMP038,Performance Testing,,,Not Started,,2026-12-13,,,,8,,
T187,P00031,EMP023,Testing,,,Completed,,2026-11-03,,,,96,,
T188,P00030,EMP021,Frontend Development,,,In Progress,,2026-11-22,,,,64,,
T189,P00015,EMP050,Deployment,,,In Progress,,2026-08-30,,,,75,,
T190,P00046,EMP025,Documentation,,,Completed,,2026-11-17,,,,100,,
T191,P00010,EMP032,Database Design,,,In Progress,,2026-09-10,,,,57,,
T192,P00007,EMP029,Login Module,,,On Hold,,2026-10-31,,,,10,,
T193,P00047,EMP010,Deployment,,,Completed,,2026-12-14,,,,92,,
T194,P00005,EMP031,Data Analysis,,,Completed,,2026-10-07,,,,96,,
T195,P00042,EMP006,Testing,,,Completed,,2026-12-12,,,,98,,
T196,P00025,EMP021,Performance Testing,,,In Progress,,2026-12-14,,,,23,,
T197,P00016,EMP041,Report Generation,,,Completed,,2026-09-23,,,,96,,
T198,P00007,EMP049,Login Module,,,In Progress,,2026-10-20,,,,53,,
T199,P00002,EMP003,Testing,,,Not Started,,2026-12-04,,,,5,,
T200,P00024,EMP028,Registration Module,,,In Progress,,2026-09-25,,,,38,,
T201,P00011,EMP012,API Development,,,On Hold,,2026-11-11,,,,49,,
T202,P00044,EMP016,Performance Testing,,,In Progress,,2026-12-19,,,,44,,
T203,P00030,EMP041,Data Analysis,,,In Progress,,2026-10-22,,,,16,,
T204,P00030,EMP019,Requirements Analysis,,,Not Started,,2026-09-14,,,,5,,
T205,P00038,EMP020,Deployment,,,In Progress,,2026-11-21,,,,53,,
T206,P00013,EMP025,Performance Testing,,,In Progress,,2026-09-07,,,,60,,
T207,P00037,EMP019,Report Generation,,,Cancelled,,2026-08-27,,,,42,,
T208,P00026,EMP018,UI Design,,,On Hold,,2026-11-05,,,,59,,
T209,P00048,EMP004,Integration Testing,,,In Progress,,2026-11-28,,,,51,,
T210,P00050,EMP015,Integration Testing,,,In Progress,,2026-12-05,,,,39,,
T211,P00040,EMP017,Registration Module,,,Not Started,,2026-11-13,,,,10,,
T212,P00042,EMP003,Report Generation,,,In Progress,,2026-12-03,,,,61,,
T213,P00047,EMP009,API Development,,,In Progress,,2026-12-19,,,,68,,
T214,P00012,EMP013,Registration Module,,,In Progress,,2026-12-03,,,,61,,
T215,P00034,EMP033,Data Analysis,,,In Progress,,2026-12-09,,,,76,,
T216,P00019,EMP048,Testing,,,Not Started,,2026-12-05,,,,1,,
T217,P00010,EMP049,Backend Development,,,Completed,,2026-12-13,,,,100,,
T218,P00026,EMP036,Bug Fixing,,,Completed,,2026-09-05,,,,90,,
T219,P00017,EMP035,Login Module,,,In Progress,,2026-10-22,,,,48,,
T220,P00038,EMP025,Bug Fixing,,,Completed,,2026-09-07,,,,97,,
T221,P00002,EMP040,Requirements Analysis,,,On Hold,,2026-10-05,,,,24,,
T222,P00042,EMP005,Security Testing,,,Completed,,2026-12-19,,,,100,,
T223,P00027,EMP008,Registration Module,,,On Hold,,2026-08-30,,,,29,,
T224,P00032,EMP008,Login Module,,,On Hold,,2026-09-24,,,,18,,
T225,P00025,EMP030,Bug Fixing,,,On Hold,,2026-11-18,,,,54,,
T226,P00035,EMP027,System Design,,,Completed,,2026-11-28,,,,96,,
T227,P00042,EMP007,Performance Testing,,,In Progress,,2026-11-11,,,,50,,
T228,P00003,EMP045,Bug Fixing,,,In Progress,,2026-09-21,,,,45,,
T229,P00024,EMP007,Bug Fixing,,,On Hold,,2026-11-02,,,,51,,
T230,P00023,EMP004,Documentation,,,In Progress,,2026-09-29,,,,30,,
T231,P00030,EMP006,Frontend Development,,,Completed,,2026-11-15,,,,90,,
T232,P00004,EMP022,Backend Development,,,Completed,,2026-09-10,,,,93,,
T233,P00005,EMP049,Requirements Analysis,,,In Progress,,2026-09-20,,,,44,,
T234,P00022,EMP050,Registration Module,,,On Hold,,2026-12-03,,,,10,,
T235,P00018,EMP010,Registration Module,,,In Progress,,2026-11-02,,,,37,,
T236,P00008,EMP043,UI Design,,,Not Started,,2026-09-10,,,,3,,
T237,P00038,EMP021,UI Design,,,In Progress,,2026-09-16,,,,31,,
T238,P00048,EMP027,User Acceptance Testing,,,Completed,,2026-09-08,,,,97,,
T239,P00029,EMP050,Bug Fixing,,,In Progress,,2026-10-29,,,,72,,
T240,P00033,EMP015,Integration Testing,,,Completed,,2026-08-30,,,,100,,
T241,P00034,EMP020,Security Testing,,,Cancelled,,2026-11-15,,,,3,,
T242,P00031,EMP026,Deployment,,,Not Started,,2026-11-20,,,,7,,
T243,P00005,EMP006,Testing,,,Not Started,,2026-11-10,,,,2,,
T244,P00018,EMP040,System Design,,,Completed,,2026-11-03,,,,96,,
T245,P00039,EMP034,Report Generation,,,In Progress,,2026-10-22,,,,70,,
T246,P00007,EMP045,Login Module,,,Completed,,2026-12-12,,,,98,,
T247,P00047,EMP014,Deployment,,,On Hold,,2026-10-21,,,,36,,
T248,P00022,EMP030,Documentation,,,Completed,,2026-10-17,,,,95,,
T249,P00028,EMP021,Data Analysis,,,Cancelled,,2026-10-11,,,,43,,
T250,P00031,EMP005,API Development,,,Not Started,,2026-12-09,,,,6,,
T251,P00007,EMP048,Bug Fixing,,,Not Started,,2026-12-06,,,,0,,
T252,P00038,EMP036,Requirements Analysis,,,Completed,,2026-10-06,,,,96,,
T253,P00023,EMP043,Deployment,,,On Hold,,2026-12-14,,,,13,,
T254,P00019,EMP039,Report Generation,,,Not Started,,2026-10-09,,,,8,,
T255,P00014,EMP010,Performance Testing,,,Completed,,2026-09-22,,,,95,,
T256,P00036,EMP024,Login Module,,,In Progress,,2026-11-30,,,,43,,
T257,P00028,EMP036,Integration Testing,,,Completed,,2026-11-11,,,,98,,
T258,P00002,EMP039,Data Analysis,,,In Progress,,2026-08-28,,,,54,,
T259,P00022,EMP023,UI Design,,,On Hold,,2026-09-17,,,,46,,
T260,P00043,EMP026,API Development,,,Completed,,2026-09-12,,,,90,,
T261,P00006,EMP048,User Acceptance Testing,,,In Progress,,2026-09-21,,,,73,,
T262,P00022,EMP011,Bug Fixing,,,Completed,,2026-10-03,,,,99,,
T263,P00039,EMP006,Database Design,,,In Progress,,2026-09-13,,,,21,,
T264,P00044,EMP006,Data Analysis,,,Completed,,2026-10-20,,,,97,,
T265,P00039,EMP029,Deployment,,,In Progress,,2026-09-28,,,,80,,
T266,P00008,EMP023,Deployment,,,In Progress,,2026-09-08,,,,77,,
T267,P00034,EMP043,Report Generation,,,In Progress,,2026-08-30,,,,22,,
T268,P00001,EMP014,Report Generation,,,Completed,,2026-09-21,,,,94,,
T269,P00019,EMP021,Login Module,,,In Progress,,2026-08-25,,,,70,,
T270,P00012,EMP009,Documentation,,,Completed,,2026-11-01,,,,98,,
T271,P00036,EMP043,Bug Fixing,,,In Progress,,2026-09-03,,,,20,,
T272,P00028,EMP002,Security Testing,,,Not Started,,2026-12-20,,,,5,,
T273,P00037,EMP028,System Design,,,Completed,,2026-10-15,,,,96,,
T274,P00019,EMP008,Documentation,,,Cancelled,,2026-08-27,,,,10,,
T275,P00040,EMP030,Bug Fixing,,,In Progress,,2026-09-05,,,,28,,
T276,P00016,EMP028,System Design,,,In Progress,,2026-10-15,,,,65,,
T277,P00020,EMP048,Testing,,,In Progress,,2026-09-22,,,,36,,
T278,P00005,EMP033,Login Module,,,In Progress,,2026-10-31,,,,59,,
T279,P00023,EMP047,Registration Module,,,Not Started,,2026-09-24,,,,4,,
T280,P00013,EMP012,Integration Testing,,,Completed,,2026-09-13,,,,100,,
T281,P00005,EMP012,Performance Testing,,,Completed,,2026-10-23,,,,99,,
T282,P00029,EMP044,System Design,,,Completed,,2026-11-15,,,,99,,
T283,P00021,EMP041,Testing,,,In Progress,,2026-09-13,,,,75,,
T284,P00029,EMP041,Report Generation,,,In Progress,,2026-12-04,,,,22,,
T285,P00023,EMP033,API Development,,,In Progress,,2026-10-03,,,,19,,
T286,P00004,EMP024,Report Generation,,,Completed,,2026-09-03,,,,91,,
T287,P00040,EMP039,User Acceptance Testing,,,In Progress,,2026-10-13,,,,85,,
T288,P00048,EMP003,Security Testing,,,Completed,,2026-12-19,,,,100,,
T289,P00013,EMP021,Integration Testing,,,In Progress,,2026-10-24,,,,22,,
T290,P00029,EMP007,Testing,,,Not Started,,2026-11-24,,,,10,,
T291,P00012,EMP003,Backend Development,,,In Progress,,2026-11-23,,,,71,,
T292,P00034,EMP034,Integration Testing,,,In Progress,,2026-09-14,,,,51,,
T293,P00025,EMP027,Testing,,,In Progress,,2026-11-19,,,,57,,
T294,P00005,EMP022,Login Module,,,Completed,,2026-11-04,,,,94,,
T295,P00017,EMP047,Integration Testing,,,In Progress,,2026-12-14,,,,25,,
T296,P00038,EMP043,Registration Module,,,In Progress,,2026-12-20,,,,65,,
T297,P00009,EMP039,API Development,,,In Progress,,2026-10-03,,,,57,,
T298,P00009,EMP043,User Acceptance Testing,,,Completed,,2026-09-05,,,,96,,
T299,P00033,EMP024,UI Design,,,In Progress,,2026-10-10,,,,42,,
T300,P00022,EMP050,Performance Testing,,,In Progress,,2026-09-18,,,,32,,
T301,P00010,EMP005,Report Generation,,,Completed,,2026-12-11,,,,98,,
T302,P00050,EMP035,User Acceptance Testing,,,Completed,,2026-08-29,,,,99,,
T303,P00009,EMP039,Documentation,,,In Progress,,2026-09-13,,,,36,,
T304,P00047,EMP029,Database Design,,,In Progress,,2026-10-16,,,,45,,
T305,P00029,EMP040,Report Generation,,,Completed,,2026-11-29,,,,97,,
T306,P00015,EMP035,Backend Development,,,Cancelled,,2026-10-03,,,,50,,
T307,P00031,EMP013,Bug Fixing,,,On Hold,,2026-11-19,,,,38,,
T308,P00030,EMP050,Report Generation,,,In Progress,,2026-12-02,,,,82,,
T309,P00027,EMP011,Frontend Development,,,Completed,,2026-12-05,,,,94,,
T310,P00004,EMP042,Performance Testing,,,In Progress,,2026-12-14,,,,28,,
T311,P00046,EMP034,Login Module,,,Not Started,,2026-09-30,,,,2,,
T312,P00018,EMP029,User Acceptance Testing,,,Completed,,2026-09-12,,,,91,,
T313,P00015,EMP029,Bug Fixing,,,Not Started,,2026-12-22,,,,0,,
T314,P00026,EMP033,Bug Fixing,,,In Progress,,2026-09-24,,,,25,,
T315,P00024,EMP015,UI Design,,,On Hold,,2026-10-04,,,,63,,
T316,P00046,EMP042,Testing,,,Not Started,,2026-12-04,,,,0,,
T317,P00019,EMP031,Registration Module,,,Completed,,2026-11-30,,,,97,,
T318,P00040,EMP001,API Development,,,In Progress,,2026-08-27,,,,34,,
T319,P00036,EMP047,Integration Testing,,,In Progress,,2026-10-31,,,,51,,
T320,P00016,EMP020,Login Module,,,In Progress,,2026-08-31,,,,73,,
T321,P00005,EMP008,Performance Testing,,,In Progress,,2026-11-09,,,,80,,
T322,P00037,EMP016,Registration Module,,,In Progress,,2026-10-01,,,,60,,
T323,P00016,EMP037,Deployment,,,Completed,,2026-09-17,,,,91,,
T324,P00034,EMP024,API Development,,,In Progress,,2026-10-31,,,,79,,
T325,P00036,EMP002,Documentation,,,In Progress,,2026-12-14,,,,64,,
T326,P00024,EMP017,UI Design,,,Completed,,2026-10-09,,,,95,,
T327,P00016,EMP047,Login Module,,,In Progress,,2026-12-01,,,,57,,
T328,P00009,EMP003,Bug Fixing,,,In Progress,,2026-11-02,,,,37,,
T329,P00050,EMP044,Security Testing,,,In Progress,,2026-11-22,,,,38,,
T330,P00009,EMP005,Security Testing,,,In Progress,,2026-08-29,,,,20,,
T331,P00013,EMP003,Testing,,,In Progress,,2026-12-22,,,,65,,
T332,P00035,EMP031,Data Analysis,,,Completed,,2026-08-29,,,,93,,
T333,P00019,EMP023,Database Design,,,Completed,,2026-12-13,,,,94,,
T334,P00008,EMP024,Deployment,,,In Progress,,2026-12-16,,,,71,,
T335,P00025,EMP022,Dashboard Development,,,Completed,,2026-10-27,,,,95,,
T336,P00034,EMP018,API Development,,,In Progress,,2026-11-26,,,,70,,
T337,P00039,EMP012,Requirements Analysis,,,In Progress,,2026-10-01,,,,25,,
T338,P00021,EMP043,Report Generation,,,In Progress,,2026-10-03,,,,69,,
T339,P00011,EMP045,Security Testing,,,In Progress,,2026-10-08,,,,60,,
T340,P00040,EMP028,Data Analysis,,,Cancelled,,2026-11-14,,,,3,,
T341,P00005,EMP043,Documentation,,,In Progress,,2026-10-10,,,,35,,
T342,P00002,EMP010,Integration Testing,,,Completed,,2026-11-19,,,,90,,
T343,P00009,EMP005,Backend Development,,,Completed,,2026-12-02,,,,95,,
T344,P00025,EMP037,Database Design,,,In Progress,,2026-11-10,,,,72,,
T345,P00024,EMP024,Security Testing,,,Not Started,,2026-11-30,,,,2,,
T346,P00034,EMP024,Documentation,,,Completed,,2026-10-04,,,,93,,
